1 -> 2 -> 3 -> 4 -> 5 -> 7 -> 6 -> 1; cost = 68
1 -> 2 -> 3 -> 7 -> 6 -> 5 -> 4 -> 1; cost = 81
1 -> 2 -> 4 -> 3 -> 7 -> 5 -> 6 -> 1; cost = 57
1 -> 2 -> 4 -> 5 -> 6 -> 7 -> 3 -> 1; cost = 68
1 -> 2 -> 5 -> 4 -> 3 -> 7 -> 6 -> 1; cost = 74
1 -> 2 -> 5 -> 6 -> 7 -> 3 -> 4 -> 1; cost = 72
1 -> 2 -> 6 -> 5 -> 7 -> 3 -> 4 -> 1; cost = 70
1 -> 2 -> 6 -> 7 -> 5 -> 4 -> 3 -> 1; cost = 68
1 -> 2 -> 7 -> 3 -> 4 -> 5 -> 6 -> 1; cost = 70
1 -> 2 -> 7 -> 6 -> 5 -> 4 -> 3 -> 1; cost = 66
1 -> 3 -> 2 -> 4 -> 5 -> 7 -> 6 -> 1; cost = 66
1 -> 3 -> 2 -> 6 -> 7 -> 5 -> 4 -> 1; cost = 79
1 -> 3 -> 2 -> 7 -> 6 -> 5 -> 4 -> 1; cost = 77
1 -> 3 -> 4 -> 2 -> 5 -> 7 -> 6 -> 1; cost = 57
1 -> 3 -> 4 -> 2 -> 7 -> 5 -> 6 -> 1; cost = 53
1 -> 3 -> 4 -> 5 -> 2 -> 7 -> 6 -> 1; cost = 70
1 -> 3 -> 4 -> 5 -> 6 -> 7 -> 2 -> 1; cost = 66
1 -> 3 -> 4 -> 5 -> 7 -> 2 -> 6 -> 1; cost = 68
1 -> 3 -> 4 -> 5 -> 7 -> 6 -> 2 -> 1; cost = 68
1 -> 3 -> 7 -> 2 -> 4 -> 5 -> 6 -> 1; cost = 68
1 -> 3 -> 7 -> 2 -> 6 -> 5 -> 4 -> 1; cost = 81
1 -> 3 -> 7 -> 5 -> 4 -> 2 -> 6 -> 1; cost = 70
1 -> 3 -> 7 -> 5 -> 6 -> 2 -> 4 -> 1; cost = 68
1 -> 3 -> 7 -> 6 -> 2 -> 5 -> 4 -> 1; cost = 85
1 -> 3 -> 7 -> 6 -> 5 -> 2 -> 4 -> 1; cost = 70
1 -> 3 -> 7 -> 6 -> 5 -> 4 -> 2 -> 1; cost = 68
1 -> 4 -> 2 -> 3 -> 7 -> 5 -> 6 -> 1; cost = 68
1 -> 4 -> 2 -> 5 -> 6 -> 7 -> 3 -> 1; cost = 70
1 -> 4 -> 2 -> 6 -> 5 -> 7 -> 3 -> 1; cost = 68
1 -> 4 -> 3 -> 2 -> 5 -> 7 -> 6 -> 1; cost = 70
1 -> 4 -> 3 -> 2 -> 7 -> 5 -> 6 -> 1; cost = 66
1 -> 4 -> 3 -> 7 -> 2 -> 5 -> 6 -> 1; cost = 72
1 -> 4 -> 3 -> 7 -> 5 -> 2 -> 6 -> 1; cost = 74
1 -> 4 -> 3 -> 7 -> 5 -> 6 -> 2 -> 1; cost = 70
1 -> 4 -> 3 -> 7 -> 6 -> 5 -> 2 -> 1; cost = 72
1 -> 4 -> 5 -> 2 -> 3 -> 7 -> 6 -> 1; cost = 85
1 -> 4 -> 5 -> 2 -> 6 -> 7 -> 3 -> 1; cost = 85
1 -> 4 -> 5 -> 6 -> 2 -> 7 -> 3 -> 1; cost = 81
1 -> 4 -> 5 -> 6 -> 7 -> 2 -> 3 -> 1; cost = 77
1 -> 4 -> 5 -> 6 -> 7 -> 3 -> 2 -> 1; cost = 81
1 -> 4 -> 5 -> 7 -> 3 -> 2 -> 6 -> 1; cost = 83
1 -> 4 -> 5 -> 7 -> 6 -> 2 -> 3 -> 1; cost = 79
1 -> 6 -> 2 -> 3 -> 7 -> 5 -> 4 -> 1; cost = 83
1 -> 6 -> 2 -> 4 -> 5 -> 7 -> 3 -> 1; cost = 70
1 -> 6 -> 2 -> 5 -> 7 -> 3 -> 4 -> 1; cost = 74
1 -> 6 -> 2 -> 7 -> 5 -> 4 -> 3 -> 1; cost = 68
1 -> 6 -> 5 -> 2 -> 7 -> 3 -> 4 -> 1; cost = 72
1 -> 6 -> 5 -> 4 -> 2 -> 7 -> 3 -> 1; cost = 68
1 -> 6 -> 5 -> 4 -> 3 -> 7 -> 2 -> 1; cost = 70
1 -> 6 -> 5 -> 7 -> 2 -> 3 -> 4 -> 1; cost = 66
1 -> 6 -> 5 -> 7 -> 2 -> 4 -> 3 -> 1; cost = 53
1 -> 6 -> 5 -> 7 -> 3 -> 2 -> 4 -> 1; cost = 68
1 -> 6 -> 5 -> 7 -> 3 -> 4 -> 2 -> 1; cost = 57
1 -> 6 -> 7 -> 2 -> 5 -> 4 -> 3 -> 1; cost = 70
1 -> 6 -> 7 -> 3 -> 2 -> 5 -> 4 -> 1; cost = 85
1 -> 6 -> 7 -> 3 -> 4 -> 5 -> 2 -> 1; cost = 74
1 -> 6 -> 7 -> 5 -> 2 -> 3 -> 4 -> 1; cost = 70
1 -> 6 -> 7 -> 5 -> 2 -> 4 -> 3 -> 1; cost = 57
1 -> 6 -> 7 -> 5 -> 4 -> 2 -> 3 -> 1; cost = 66
1 -> 6 -> 7 -> 5 -> 4 -> 3 -> 2 -> 1; cost = 68
